,pitch,step,velocity,duration
0,34.0,0.0019589416666647708,63.0,0.1544283333333354
1,61.0,0.07817934375000135,59.0,0.07721416666666414
2,72.0,0.07528381249999683,60.0,0.07721416666667125
3,26.0,0.0009651770833372098,63.0,0.15442833333332828
4,65.0,0.07624898958333404,62.0,0.07721416666666414
5,28.0,0.07817934374999425,63.0,0.11582125000000332
6,70.0,0.002895531250004524,66.0,0.07721416666666414
7,61.0,0.07528381249999683,68.0,0.07721416666667125
8,30.0,0.032816020833337234,70.0,0.5067179687499959
9,34.0,0.014477656250001303,70.0,0.49224031249999456
10,37.0,0.014477656249994197,58.0,0.47776265625000036
11,42.0,0.014477656250001303,58.0,0.46328499999999906
12,72.0,0.0009651770833372098,69.0,0.07721416666666414
13,64.0,0.07431863541666672,69.0,0.07721416666666414
14,70.0,0.07914452083333146,68.0,0.07721416666666414
15,61.0,0.07721416666666414,67.0,0.07721416666667125
16,60.0,0.07721416666667125,66.0,0.07721416666666414
17,52.0,0.07914452083333146,64.0,0.07724999583332703
18,30.0,0.07528381249999683,72.0,0.47188400000000286
19,58.0,0.0009830916666686562,59.0,0.07864733333332907
20,49.0,0.07766424166666752,59.0,0.07864733333332907
21,48.0,0.08061351666666638,59.0,0.07864733333332907
22,40.0,0.07766424166666752,59.0,0.07864733333332907
23,46.0,0.07864733333332907,59.0,0.07864733333333618
24,37.0,0.07766424166666752,59.0,0.07864733333333618
25,48.0,0.07668114999999887,59.0,0.07864733333333618
26,31.0,0.0019661833333373124,80.0,0.23594199999999432
27,39.0,0.08061351666666638,59.0,0.07864733333332907
28,46.0,0.07471496666666155,59.0,0.07864733333333618
29,37.0,0.08159660833333504,59.0,0.07864733333333618
30,51.0,0.08061351666666638,59.0,0.07864733333333618
31,48.0,0.07569805833333731,59.0,0.07864733333332907
32,39.0,0.07864733333332907,88.0,0.3539129999999986
33,49.0,0.0019661833333373124,61.0,0.07864733333332907
34,46.0,0.07668114999999887,62.0,0.07864733333332907
35,60.0,0.07864733333332907,64.0,0.07864733333333618
36,51.0,0.08061351666666638,64.0,0.07864733333333618
37,58.0,0.07766424166666752,64.0,0.07864733333333618
38,39.0,0.03834057499999943,79.0,0.11797100000000427
39,49.0,0.03932366666666809,64.0,0.07864733333333618
40,39.0,0.07864733333333618,88.0,0.47188399999999575
41,63.0,0.0029492749999988632,64.0,0.07864733333333618
42,49.0,0.07598488333333364,61.0,0.07894533333333698
43,46.0,0.08091896666667253,59.0,0.07890893333332372
44,26.0,0.07697169999998721,69.0,1.8754279999999852
45,48.0,0.0009686166666682539,61.0,0.07748933333333241
46,43.0,0.07845795000000066,59.0,0.07748933333333241
47,47.0,0.07845795000000066,61.0,0.07748933333333241
48,43.0,0.0755520999999959,59.0,0.07748933333333241
49,46.0,0.07748933333333241,61.0,0.07748933333333241
50,26.0,0.03777605000000506,61.0,0.11623399999999151
51,38.0,0.0368074333333368,59.0,0.07748933333333241
52,26.0,0.07942656666665471,70.0,0.47367199999999343
53,45.0,0.001973633333335556,61.0,0.07894533333333698
54,38.0,0.07697170000000142,58.0,0.07894533333332276
55,44.0,0.07993214999999054,60.0,0.07894533333333698
56,34.0,0.07894533333333698,56.0,0.07894533333333698
57,43.0,0.07894533333333698,59.0,0.07894533333333698
58,38.0,0.07993215000000475,55.0,0.07890893333332372
59,27.0,0.07697169999998721,62.0,0.46493599999999446
60,42.0,0.0019372333333365077,59.0,0.07748933333333241
61,33.0,0.0755520999999959,53.0,0.07748933333333241
62,41.0,0.0755520999999959,56.0,0.07748933333333241
63,34.0,0.07845795000000066,51.0,0.07748933333333241
64,40.0,0.07845795000000066,55.0,0.07748933333333241
65,32.0,0.07652071666666416,49.0,0.07748933333334662
66,26.0,0.07845795000000066,73.0,0.47188400000000286
67,39.0,0.0019661833333373124,55.0,0.07864733333333618
68,34.0,0.07668114999999887,50.0,0.07864733333333618
69,38.0,0.08159660833332794,53.0,0.07864733333333618
70,32.0,0.07373187500000711,49.0,0.07864733333332197
71,37.0,0.08257969999999659,50.0,0.07864733333333618
72,34.0,0.07766424166666752,47.0,0.07868925208333621
73,10.0,0.07766424166666752,69.0,1.4253490000000113
74,36.0,0.0030750312500060772,49.0,0.08200083333332486
75,29.0,0.0779007916666643,46.0,0.08200083333332486
76,35.0,0.08405085416666225,49.0,0.08200083333333907
77,32.0,0.08405085416666225,46.0,0.08200083333333907
78,34.0,0.08097582291667038,49.0,0.08200083333333907
79,26.0,0.08302584375000777,45.0,0.0818425020833331
80,33.0,0.0779007916666643,49.0,0.07783144375000006
81,17.0,0.0010250104166686924,66.0,0.9333440000000053
82,32.0,0.0806953666666601,46.0,0.07777866666667421
83,43.0,0.07972313333334569,53.0,0.23333599999999421
84,62.0,0.001944466666657263,50.0,0.07777866666667421
85,55.0,0.0748619666666741,44.0,0.07777866666666
86,60.0,0.08166760000000295,48.0,0.07777866666666
87,55.0,0.07388973333333126,44.0,0.07777866666666
88,59.0,0.07777866666666,48.0,0.07777866666667421
89,35.0,0.03986156666667284,50.0,0.11666799999999
90,50.0,0.03791710000000137,44.0,0.07777866666666
91,59.0,0.07777866666666,50.0,0.07922107499999242
92,38.0,0.0009722333333286315,50.0,0.9473200000000048
93,54.0,0.08221080833332906,48.0,0.07923933333333366
