,pitch,step,velocity,duration
0,43.0,0.0,60.0,0.8134489999999999
1,43.0,0.8134489999999999,60.0,0.61008675
2,43.0,0.61008675,57.0,0.20336224999999986
3,43.0,0.20336224999999986,60.0,0.8134489999999999
4,44.0,0.8134489999999999,58.0,0.8134489999999999
5,43.0,0.8134489999999999,60.0,0.8134490000000003
6,39.0,0.8134490000000003,58.0,0.8134489999999994
7,43.0,0.8134489999999994,60.0,1.682086
8,43.0,1.682086,38.0,0.8138899999999998
9,43.0,0.8138899999999998,38.0,0.6104175000000005
10,43.0,0.6104175000000005,36.0,0.20347250000000017
11,43.0,0.20347250000000017,38.0,0.8138899999999989
12,44.0,0.8138899999999989,36.0,0.8388089999999995
13,43.0,0.8388089999999995,36.0,0.9142159999999997
14,39.0,0.9142159999999997,34.0,0.9860310000000005
15,43.0,0.9860310000000005,31.0,2.5701970000000003
16,35.0,1.2332990000000006,19.0,1.3368979999999997
17,80.0,1.3313275916666658,96.0,0.08400964583333348
18,12.0,0.005570408333333887,112.0,0.24135150000000039
19,75.0,0.0814561312500004,71.0,0.08045049999999954
20,79.0,0.07843923749999959,91.0,0.08045049999999954
21,72.0,0.08346739375000034,71.0,0.08045049999999954
22,78.0,0.07944486875000045,84.0,0.08045049999999954
23,75.0,0.07944486874999868,71.0,0.08045050000000131
24,43.0,0.08045050000000131,88.0,0.3487019999999994
25,72.0,0.08039518333333362,69.0,0.07748933333333241
26,76.0,0.07652071666666593,79.0,0.07748933333333419
27,72.0,0.07748933333333419,69.0,0.07748933333333241
28,75.0,0.07458348333333298,79.0,0.07748933333333241
29,43.0,0.03971328333333268,82.0,0.11623400000000039
30,67.0,0.041650516666667414,69.0,0.07752189583333369
31,43.0,0.07458348333333298,88.0,0.47014599999999973
32,74.0,0.001958941666666547,78.0,0.07835766666666721
33,67.0,0.07737819583333305,71.0,0.07835766666666721
34,73.0,0.07639872500000067,78.0,0.07835766666666721
35,63.0,0.07737819583333305,71.0,0.07835766666666721
36,72.0,0.07835766666666721,78.0,0.07835766666666544
37,67.0,0.08031660833333198,71.0,0.07835766666666721
38,71.0,0.07639872500000067,78.0,0.07615416666666697
39,44.0,0.001958941666666547,92.0,0.4565860000000015
40,63.0,0.07419522500000042,69.0,0.07609766666666573
